feature,count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct,skewness,zero_count
Age,90916.0,39.41240265739804,15.124315875500203,7.0,27.0,40.0,51.0,85.0,0,0.0,-0.0010793439421881315,0
Flight Distance,90916.0,1191.7905649170664,998.3127749151524,31.0,414.0,845.0,1744.0,4983.0,0,0.0,1.1046403579742474,0
Inflight wifi service,90916.0,2.7303774913106604,1.3291652807933423,0.0,2.0,3.0,4.0,5.0,0,0.0,0.04197752598840278,2719
Departure/Arrival time convenient,90916.0,3.060715385630692,1.5245118211825126,0.0,2.0,3.0,4.0,5.0,0,0.0,-0.3338800822632605,4629
Ease of Online booking,90916.0,2.7593492894540015,1.4013679691829999,0.0,2.0,3.0,4.0,5.0,0,0.0,-0.017463385844528417,3946
Gate location,90916.0,2.9825553257952397,1.2774159830538416,0.0,2.0,3.0,4.0,5.0,0,0.0,-0.061905885215867595,1
Food and drink,90916.0,3.2041444850191385,1.3302875004019625,0.0,2.0,3.0,4.0,5.0,0,0.0,-0.1542973603979617,93
Online boarding,90916.0,3.251924853711118,1.3498913294141621,0.0,2.0,3.0,4.0,5.0,0,0.0,-0.45605467889100193,2152
Seat comfort,90916.0,3.441561441330459,1.3186836789318686,1.0,2.0,4.0,5.0,5.0,0,0.0,-0.48604908067321834,0
Inflight entertainment,90916.0,3.3597606581899777,1.334332306262832,0.0,2.0,4.0,4.0,5.0,0,0.0,-0.3673430247701662,13
On-board service,90916.0,3.3845417748251134,1.2876931331368742,0.0,2.0,4.0,4.0,5.0,0,0.0,-0.42150384142546266,2
Leg room service,90916.0,3.354283074486339,1.3162877132335955,0.0,2.0,4.0,4.0,5.0,0,0.0,-0.35078733701692644,418
Baggage handling,90916.0,3.633562849223459,1.1796695105975261,1.0,3.0,4.0,5.0,5.0,0,0.0,-0.6782133368949289,0
Checkin service,90916.0,3.3074596330678867,1.2646961789216866,1.0,3.0,3.0,4.0,5.0,0,0.0,-0.3696265760948037,0
Inflight service,90916.0,3.643528091865018,1.17622837615164,0.0,3.0,4.0,5.0,5.0,0,0.0,-0.6907513249675672,2
Cleanliness,90916.0,3.288453077566105,1.312914869667126,0.0,2.0,3.0,4.0,5.0,0,0.0,-0.30159820791971087,11
Departure Delay in Minutes,90916.0,14.807492630560077,38.21108782050146,0.0,0.0,0.0,12.0,1592.0,0,0.0,6.851902106829776,51300
Arrival Delay in Minutes,90623.0,15.173057612305927,38.55768357933591,0.0,0.0,0.0,13.0,1584.0,293,0.0032227550706146334,6.714152302116086,50858
