,count,mean,std,min,25%,50%,75%,max,missing,missing_pct,skew,kurtosis
Age,90916.0,39.41240265739804,15.124315875500159,7.0,27.0,40.0,51.0,85.0,0,0.0,-0.0010793439421881322,-0.7199807364239801
Flight Distance,90916.0,1191.7905649170664,998.3127749151595,31.0,414.0,845.0,1744.0,4983.0,0,0.0,1.1046403579742472,0.25523484780285655
Inflight wifi service,90916.0,2.7303774913106604,1.329165280793335,0.0,2.0,3.0,4.0,5.0,0,0.0,0.04197752598840279,-0.8487128115755964
Departure/Arrival time convenient,90916.0,3.060715385630692,1.5245118211825195,0.0,2.0,3.0,4.0,5.0,0,0.0,-0.3338800822632605,-1.0380803838197323
Ease of Online booking,90916.0,2.7593492894540015,1.4013679691829954,0.0,2.0,3.0,4.0,5.0,0,0.0,-0.01746338584452842,-0.9135193354000295
Gate location,90916.0,2.9825553257952397,1.2774159830538474,0.0,2.0,3.0,4.0,5.0,0,0.0,-0.061905885215867595,-1.0293067910848468
Food and drink,90916.0,3.2041444850191385,1.3302875004019634,0.0,2.0,3.0,4.0,5.0,0,0.0,-0.1542973603979617,-1.1461679326260261
Online boarding,90916.0,3.251924853711118,1.3498913294141723,0.0,2.0,3.0,4.0,5.0,0,0.0,-0.456054678891002,-0.6979549010693828
Seat comfort,90916.0,3.441561441330459,1.3186836789318621,1.0,2.0,4.0,5.0,5.0,0,0.0,-0.4860490806732184,-0.921113832838734
Inflight entertainment,90916.0,3.3597606581899777,1.3343323062628323,0.0,2.0,4.0,4.0,5.0,0,0.0,-0.3673430247701662,-1.0610564998909986
On-board service,90916.0,3.3845417748251134,1.2876931331368824,0.0,2.0,4.0,4.0,5.0,0,0.0,-0.4215038414254629,-0.8912375990645724
Leg room service,90916.0,3.354283074486339,1.3162877132335982,0.0,2.0,4.0,4.0,5.0,0,0.0,-0.3507873370169265,-0.9832693970159081
Baggage handling,90916.0,3.633562849223459,1.1796695105975368,1.0,3.0,4.0,5.0,5.0,0,0.0,-0.678213336894929,-0.3806942006233629
Checkin service,90916.0,3.3074596330678867,1.2646961789216837,1.0,3.0,3.0,4.0,5.0,0,0.0,-0.36962657609480387,-0.8227442738564701
Inflight service,90916.0,3.643528091865018,1.1762283761516399,0.0,3.0,4.0,5.0,5.0,0,0.0,-0.6907513249675672,-0.36055533888300095
Cleanliness,90916.0,3.288453077566105,1.3129148696671094,0.0,2.0,3.0,4.0,5.0,0,0.0,-0.3015982079197111,-1.0134443599484795
Departure Delay in Minutes,90916.0,14.807492630560077,38.211087820501355,0.0,0.0,0.0,12.0,1592.0,0,0.0,6.851902106829776,106.40671267334871
Arrival Delay in Minutes,90623.0,15.173057612305927,38.557683579335546,0.0,0.0,0.0,13.0,1584.0,293,0.32,6.714152302116085,101.16930762361423
